epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,20214.6,1.26466,1.34691,1.60762,0.43787,0.33824,0.24773,0.1156,2.06341,3.38972,2.45197,0.000307,0.000307,0.000307
44,20895.1,1.24114,1.31333,1.58449,0.32768,0.41838,0.25172,0.1064,2.15904,3.16224,2.5459,0.0002905,0.0002905,0.0002905
45,21514.4,1.24826,1.30786,1.6015,0.24418,0.48647,0.2494,0.10103,2.18113,3.09552,2.52598,0.000274,0.000274,0.000274
46,22190,1.23756,1.2994,1.59996,0.34911,0.42775,0.26151,0.11464,2.11797,3.07438,2.47193,0.0002575,0.0002575,0.0002575
47,22855.4,1.23281,1.277,1.59246,0.38332,0.40455,0.27298,0.13207,2.13118,3.1163,2.53424,0.000241,0.000241,0.000241
48,23546.4,1.20142,1.22611,1.56437,0.29278,0.48345,0.25662,0.10842,2.1568,2.9765,2.57565,0.0002245,0.0002245,0.0002245
49,24204.4,1.18661,1.23395,1.56342,0.31298,0.47312,0.24714,0.10877,2.18865,3.29218,2.6086,0.000208,0.000208,0.000208
50,24882.6,1.19844,1.19438,1.57121,0.31038,0.49277,0.2681,0.11438,2.17239,3.05583,2.57453,0.0001915,0.0001915,0.0001915
51,25624.3,1.07816,0.98825,1.57412,0.34821,0.4713,0.26741,0.12244,2.20115,3.19782,2.57243,0.000175,0.000175,0.000175
52,26343,1.04608,0.88599,1.555,0.32356,0.47139,0.27303,0.12266,2.17369,3.20617,2.58491,0.0001585,0.0001585,0.0001585
53,27035.6,1.02793,0.85137,1.54436,0.31612,0.49288,0.28083,0.1259,2.16215,3.14786,2.57433,0.000142,0.000142,0.000142
54,27796.8,1.00267,0.82416,1.51339,0.32977,0.44706,0.2703,0.11901,2.15474,3.13125,2.55511,0.0001255,0.0001255,0.0001255
55,28498.4,0.98468,0.77728,1.49459,0.32778,0.48285,0.28297,0.1256,2.19596,3.1053,2.64379,0.000109,0.000109,0.000109
56,29298.2,0.97617,0.7678,1.48284,0.35907,0.41882,0.2721,0.11726,2.19666,3.04418,2.64527,9.25e-05,9.25e-05,9.25e-05
57,30046.4,0.96456,0.75387,1.47848,0.29839,0.50626,0.28252,0.12352,2.23263,3.0883,2.68724,7.6e-05,7.6e-05,7.6e-05
58,30867.6,0.95306,0.74246,1.47685,0.36397,0.47851,0.27934,0.12139,2.20397,3.17553,2.6385,5.95e-05,5.95e-05,5.95e-05
59,31632.4,0.93599,0.72173,1.44916,0.28185,0.48832,0.26442,0.11507,2.22933,3.14585,2.66013,4.3e-05,4.3e-05,4.3e-05
60,32457.7,0.92737,0.70178,1.43735,0.33392,0.46412,0.27842,0.12072,2.20928,3.12768,2.65426,2.65e-05,2.65e-05,2.65e-05
